Здравствуйте! ,Bonjour! ,[Бонжур!] 
Привет! ,Salut! ,[Салю!] 
Доброе утро! ,Bonjour! ,[Бонжур!] 
Добрый день! ,Bonjour! ,[Бонжур!] 
Добрый вечер! ,Bonsoir! ,[Бонсуар!] 
,,"[Суайе лё (ля, ле) бьенвёню!] (в зависимости"
Добро пожаловать! ,Soyez le bienvenu! (la bienvenue/les bienvenus)! ,
,,от пола и числа людей) 
"Приятно, очень рад(а) (познакомиться) ",Enchanté(e)! ,[Аншантэ!] 
,Прощание ,
До свидания! ,Au revoir! ,[О рёвуар!] 
,,"[А ту талёр!] (говорят, когда уверены, что"
"До скорого, до встречи! ",A tout à l'heure! ,
,,увидитесь позже в этот же день) 
,,"[А плю тар!] (говорят, когда уверены, что"
До встречи! ,A plus tard! ,
,,скоро увидитесь) 
До скорой встречи! (До скорого!) ,A bientôt! ,[А бьенто!] 
До завтра! ,A demain! ,[А дёмэн!] 
Всего хорошего! (Будьте здоровы!) ,Portez-vous bien! ,[Портэ ву бьен]! 
Прощайте! ,Adieu! ,[Адьё!] 
Счастливо! (Удачи!) ,Bonne chance! ,[Бон шанс!] 
Спокойной ночи! ,Bonne nuit! ,[Бон нюи!] 
Счастливого пути! ,Bon voyage! , [Бон вуаяж!] 
Увидимся позже! ,On se verra plus tard! ,[Он сё вэра плю тар!] 
До вечера! ,A ce soir! ,[А сё суар!] 
"Уже поздно, мне пора идти. ","Il est tard, je dois partir. ","[Иль э тар, жё дуа партир.] "
"К сожалению, я должен идти. ","Je reqrette, mais je dois partir. ","[Жё рёгрэт, мэ жё дуа партир.] "
"Надеюсь, до скорого. ","A bientôt, j'espère. ","[А бьенто, жэспэр.] "
Я тороплюсь. ,Je suis pressé. ,[Жё сюи прэсэ.] 
Мы торопимся. ,Nous sommes pressés. ,[Ну сом прэсэ.] 
Речевые формулы. Самые необходимые фразы на французском ,,
Спасибо! ,Merci! ,[Мэрси!] 
Большое спасибо. ,Merci beaucoups. ,[Мэрси боку.] 
Пожалуйста (вежливая просьба). ,S’il vous plaît. ,[Силь ву пле.] 
Благодарю вас. ,Je vous remercie. ,[Жё ву рёмэрси] 
Не за что (в ответ на благодарность или,,
,De rien/Pas de quoi. ,[Дё рьен/Па дё куа.] 
извинение). ,,
Пожалуйста (в ответ на благодарность). ,Je vous en prie. ,[Жё ву занпри.] 
Могу я спросить/попросить? ,Puis-je demander? ,[Пюиж дёмандэ?] 
Хорошего дня! ,Bonne journée! ,[Бон журнэ!] 
Хорошего вечера! ,Bonne soirée! ,[Бон суарэ!] 
,,"[Экскюзэ муа!] (используется, чтобы вежливо"
Извините! ,Excuser-moi! ,
,,привлечь внимание) 
Прошу прощения! ,Je demande pardon! ,[Жё дёманд пардон!] 
Виноват(а) (моя ошибка). ,C’est ma faute. ,[Сэ ма фот.] 
Тысяча извинений! ,Mille pardons! ,[Миль пардон!] 
Извините за беспокойство. ,Excuser-moi de vous déranger. ,[Экскюзэ муа дё ву дэранже. 
Мне нужно... ,J’ai besoin de... ,[Жэ бёзуэн дё...] 
Я хотел бы... ,Je voudrais... ,[Жё вудрэ...] 
"Дайте мне, пожалуйста... ","Donnez-moi, s’il vous plaît... ","[Донэ муа, силь ву пле...] "
"Покажите мне, пожалуйста... ","Montrez-moi, s’il vous plaît... ","[Монтрэ муа, силь ву пле...] "
,,Французский разговорник 1 
"Принесите мне, пожалуйста... ","Apportez-moi, s’il vous plaît... ","[Апортэ муа, силь ву пле...] "
"Помогите мне, пожалуйста. ","Aidez-moi, s’il vous plaît. ","[Эдэ муа, силь ву пле.] "
"Подскажите мне, пожалуйста... ","Dites-moi, s’il vous plaît... ","[Дит муа, силь ву пле...] "
Вы очень любезны. ,Vous êtes très amiable. ,[Ву зэт трэ зэмабль.] 
,C'est très aimable à vous. (C'est vraiment gentil,[Сэ трэ зэмабль а ву. (Сэ врэман жантий дё
Это очень любезно с вашей стороны. ,,
,de votre part.)! ,вотр пар).] 
"Простите, не расслышал? ",Pardon? ,[Пардон?] 
"Повторите, пожалуйста. ","Répétez, s’il vous plaît. ","[Рэпэтэ, силь ву пле.] "
"Повторите еще раз, будьте добры. ","Répétez encore une fois, s’il vous plaît. ","[Рэпэтэ анкор юн фуа, силь ву пле.] "
"Говорите, пожалуйста, помедленнее. ","Parlez plus lentement, s’il vous plaît. ","[Парле плю лянтман, силь ву пле.] "
Вы говорите слишком быстро. ,Vour parlez trop vite. ,[Ву парле тро вит.] 
Я (вас) не понимаю. ,Je ne (vous) comprends pas. ,[Жё нё (ву) компран па.] 
"Простите, я не понял(а). ","Pardon, je n’ai pas compris. ","[Пардон, жё нэ па компри.] "
Напишите это. ,Ecrivez-moi cela. ,[Экривэ муа сёля.] 
Я не говорю по-французски. ,Je ne parle pas français. ,[Жё нё парль па франсэ.] 
Я плохо говорю по-французски. ,Je ne parle pas bien français. ,[Жё нё парль па бьен франсэ.] 
Я немного говорю по-английски. ,Je parle un peu anglais. ,[Жё парль эн пё англэ.] 
Я иностранец. ,Je suis étranger. ,[Жё сюи этранже.] 
Я отстал от своей группы. ,J’ai manqué mon groupe de tourists. ,[Жэ манкэ мон груп дё турист.] 
Я заблудился(лась). ,Je me suis égaré(e)/Je me suis perdu(e). ,[Жё мё сюи зэгарэ./ Жё мё сюи пэрдю.] 
Вы говорите по-английски? ,Parlez-vous anglais? ,[Парле ву англе?] 
"Здесь есть кто-нибудь, кто говорит по-",,
,Est-ce qu'il y a quelqu'un ici qui parle anglais? ,[Эс килья кэлькэн иси ки парль англе?] 
английски? ,,
Вы меня понимаете? ,Vous me comprenez? ,[Ву мё компрёнэ?] 
"Да, но мне самой (самому) еще трудно",,
,"Oui, mais il m'est encore difficile de parler. ","[Уи, мэ иль мэ анкор дифисиль дё парле.] "
говорить. ,,
,Comment cela se dit en français?/Comment dire,[Коман сёля сё ди ан франсэ?/Коман дир ан
Как это будет по-французски? ,,
,en français...? ,франсэ?] 
Как это называется по-французски? ,Comment cela s’appelle-t-il en français? ,[Коман сёля сапэль тиль ан франсэ?] 
Как это называется? ,Comment appelle-t-on ceci/ça? ,[Коман апэль тон сёси (са)?] 
Не могли бы вы это написать? ,"Pouver-vous l'écrire, s’il vous plaît? ","[Пувэ ву лекрир, силь ву пле?] "
Можно войти? ,Puis-je entrer? ,[Пюиж антрэ?] 
Где находится туалет? ,Où sont les toilettes? ,[У сон ле туалетт?] 
Я могу здесь присесть? ,Je peux m’asseoir ici? ,[Жё пё масуар иси?] 
Можно здесть курить? ,Peut-on fumer ici? ,[Пё тон фюмэ иси?] 
У меня проблема. Мне нужна помощь. ,J’ai un problème. J’ai besoin d’aide. ,[Жэ эн проблем. Жэ бёзуэн дэд.] 
,"Vous pourriez nous prendre en photo, s’il vous",
Вы не могли бы нас сфотографировать? ,,"[Ву пурье ну прандр эн фото, силь ву пле?] "
,plaît? ,
,Немного о себе ,
Меня зовут... ,Je m’appelle... ,[Жё мапэль] 
Как вас зовут? ,Comment vous appelez vous? ,[Коман ву заплэ ву?] 
Очень приятно! ,Enchanté(e)! ,[Аншантэ!] 
Я приехал(а) из России. ,Je suis venu(e) de Russie. ,[Жё сюи вёню дё рюси] 
Я здесь... ,Je suis ici... ,[Жё сюи иси...] 
- в отпуске ,- en vacances ,[- ан ваканс] 
- в командировке ,- pour affaires ,[- пур афэр] 
Я остановился... ,Je suis descendu... ,[Жё сюи дэсандю...] 
- в гостинице ,- à l'hôtel ,[- а лётэль] 
- у друзей ,- chez mes amis ,[- ше мэ зами] 
Я приехал(а)... ,Je suis venu(e)... ,[Жё сюи вёню...] 
,,Французский разговорник 2 
- с подругой ,- avec ma copine ,[- авэк ма копин] 
- с другом ,- avec mon ami ,[- авэк мон ами] 
- с женой ,- avec ma femme ,[- авэк ма фам] 
- с мужем и детьми ,- avec mon mari et mes enfants ,[- авэк мон мари э мэ занфан] 
- с родителями ,- avec mes parents ,[- авэк мэ паран] 
Я женат (замужем). ,Je suis marié(e). ,[Жё сюи марье] 
Я разведен. ,Je suis divorcé(e). ,[Жё сюи диворсэ] 
У меня сын и дочь. ,J’ai un fils et une fille. ,[Жэ эн фис э юн фий] 
,Согласие ,
Да ,Oui ,[Уи] 
Хорошо ,Bien ,[Бьен] 
Конечно ,Certainement/Bien sûr ,[Сэртэнман/Бьен сюр] 
С удовольствием ,Avec plaisir ,[Авэк плезир] 
Вы правы. ,Vous avez raison. ,[Ву завэ рэзон] 
Я не возражаю. ,Je ne dis pas non. ,[Жён ё ди па нон] 
"Договорились (ОК, ладно). ",D’accord ,[Дакор ] 
"Охотно, с удовольствием ",Volontiers ,[Волёнтье] 
Прекрасно! ,Parfait! ,[Парфэ!] 
Это мне подходит. ,Ça marche. ,[Са марш.] 
Это хорошая мысль. ,"C’est une bonne idée, ça. ","[Сэ тюн бон идэ, са.] "
Без всякого сомнения. ,Sans aucun doute. ,[Сан зокэн дут.] 
"Договорились, решено! ",C'est entendu! ,[Сэ тантандю!] 
,Отказ ,
"Нет, спасибо. ","Non, merci. ","[Нон, мэрси.] "
"К сожалению, я не могу. ","Malheureusement, je ne peux pas. ","[Малёрёзман, жё нё пё па.] "
"Спасибо, не хочу. ","Merci, je ne veux pas. ","[Мэрси, жё нё вё па.] "
Ни за что! (Никогда) ,Jamais ,[Жамэ] 
"Мне кажется, что вы неправы. ",Je pense que vous avez tort. ,[Жё панс кё ву завэ тор] 
Я возражаю. ,Je suis contre. ,[Жё сюи контр] 
Это исключено. ,C’est exclus. ,[Сэ тэксклю] 
Это невозможно! ,C’est impossible! ,[Сэ тэнпосибль!] 
"Жаль, но это невозможно. ","C’est dommage, mais c’est impossible. ","[Сэ домаж, мэ сэ тэнпосибль.] "
Меня это не интересует. ,Je ne suis pas intéressé. ,[Жё нё сюи па зантэрэссэ.] 
,Время ,
Вчера ,Hier ,[Йер] 
Позавчера ,Avant-hier ,[Аван йер] 
Сегодня ,Aujourd'hui ,[Ожурдюи] 
Завтра ,Demain ,[Дёмэн] 
Послезавтра ,Après-demain ,[Апрэ дёмэн] 
Через неделю ,Dans une semaine ,[Дан зюн смэн] 
Несколько дней назад ,Il y a quelques jours ,[Иль я келькё жур] 
В следующем году ,L'année prochaine ,[Ланэ прошэн] 
Утром ,Le matin ,[Лё матэн] 
Вечером ,Le soir ,[Лё суар] 
Который час? ,Quelle heure est-il? ,[Кель ёр э тиль?] 
Сейчас... ,Il est... ,[Иле...] 
,,Французский разговорник 3 
- семь часов утра/вечера ,- sept heures du matin/du soir ,[- сэт ёр дю матэн/дю суар] 
Я вернусь в отель... ,Je reviendrai à l'hôtel... ,[Жё рёвьендрэ а лётель...] 
- поздно вечером ,- à une heure avancée ,[- а юн ёр авансэ] 
- рано утром ,- de bonne heure ,[- дё бон ёр] 
Рано ,Tôt ,[То] 
Поздно ,Tard ,[Тар] 
Давно ,Il y a longtemps ,[Иль я лонтан] 
Недавно ,Il n’y a pas longtemps ,[Иль нья па лонтан] 
,На границе. На таможне ,
Паспортный контроль ,Le contrôle de passeports ,[Лё контроль дё паспор] 
Паспорт ,Le passeport ,[Лё паспор] 
Таможня ,La douane ,[Ля дуан] 
Таможенная декларация ,La déclaration en douane ,[Ля дэклярасьон ан дуан] 
Авиабилет ,Le billet d’avion ,[Лё бийе давьён] 
Деньги ,L’argent ,[Ляржан] 
"Пожалуйста, ваш паспорт! ","Votre passeport, s’il vous plaît! ","[Вотр паспор, силь ву пле!] "
Цель вашей поездки? ,Quel est le but de votre voyage? ,[Кель э лё бю дё вотр вуаяж?] 
Где вы остановитесь? ,Où allez-vous descendre? ,[У алле ву дэсандр?] 
Вот мой паспорт. ,Voici mon passeport. ,[Вуаси мон паспор.] 
Цель моей поездки... ,Je suis ici... ,[Жё сюи иси...] 
- туризм ,- comme touriste ,[- ком турист] 
- служебная командировка ,- pour affaires ,[- пур афэр] 
Вот мое приглашение в страну. ,Voici mon invitation. ,[Вуаси мон энвитасьон.] 
,Je vais rester dans le pays pendant une,
Я собираюсь пробыть в стране две недели. ,,[Жё вэ рэстэ дан лё пэи пандан юн кэнзэн.] 
,quinzaine. ,
Я буду жить у друзей/в гостинице. ,Je vais descendre chez mes amis/ à l'hôtel. ,[Жё вэ дэсандр ше мэ зами/а лётэль.] 
У вас есть что декларировать? ,Avez-vous quelque chose à declarer? ,[Авэ ву келькё шоз а дэкларэ?] 
В вашем багаже есть...? ,Vous avez dans vos bagages...? ,[Ву завэ дан во багяж...?] 
- оружие ,- les armes ,[- ле зарм] 
- наркотики ,- les stupéfiants ,[- ле стюпефьян] 
"Откройте эту сумку, пожалуйста. ","Ouvrez ce sac, s’il vous plaît. ","[Уврэ сё сак, силь ву пле.] "
Сколько вы провозите спиртного? ,Combien d’alcool avez-vous? ,[Комбьен дальколь авэ ву?] 
Чемодан ,La valise ,[Ля вализ] 
Сумка ,Le sac ,[Лё сак] 
Дорожная сумка (мешок; сумка без,,
,Le fourre-tout ,[Лё фурту] 
отделений) ,,
Рюкзак ,Le sac à dos ,[Лё сакадо] 
«Зелёный коридор» ,La file verte ,[Ля филь вэрт] 
"Мне сказали, что это можно взять с собой. ",On m’a dit qu’on peut le prendre avec moi. ,[Он ма ди кон пё лё прандр авэк муа.] 
,В аэропорту ,
Самолёт ,L’avion ,[Лявьон] 
Аэропорт ,L’aéroport ,[Ляэропор] 
Стойка регистрации ,Le comptoir d’enregistrement ,[Лё контуар данрёжистрёман] 
Паспорт ,Le passeport ,[Лё паспор] 
Посадочный талон ,La carte d’embarquement ,[Ля карт дамбаркёман] 
Авиабилет ,Le billet d’avion ,[Лё бийе давьон] 
Ручная кладь ,Le bagage à main ,[Лё багяж а мэн] 
Багажная тележка ,Le chariot à bagage ,[Лё шарьо а багяж] 
,,Французский разговорник 4 
Багаж ,La bagage ,[Лё багяж] 
Багажное отделение ,La soute à bagage ,[Ля сут а багяж] 
Отправление ,Départs ,[Депар] 
Выход ,Sortie ,[Сорти] 
Справочное бюро ,Bureau de renseignements ,[Бюро дё рансеньман] 
Вход ,Entrée ,[Антрэ] 
Прием багажа ,Enregistrement des bagages ,[Анрёжистрёман ве багяж] 
Зал ожидания ,Salle d’attente ,[Саль датант] 
Камера хранения ,Consigne ,[Консинь] 
Выдача багажа ,Retrait des bagages ,[Рётрэ де багяж] 
Вынужденная посадка ,Atterrissage forcé ,[Атерисаж форсэ] 
Задержка ,Retard ,[Рётар] 
Выход на посадку №... ,Porte d’embarquement №... ,[Порт дамбаркёман нюмеро...] 
Паспортный контроль ,Le contrôle de passeports ,[Лё контроль дё паспор] 
Магазин беспошлинной торговли ,Magasin hors taxes ,[Магазэн ор такс] 
Прямой рейс ,Vol direct ,[Воль директ] 
Регулярный рейс ,Vol régulier ,[Воль рэгюлье] 
Аварийный выход ,Sortie de secours ,[Сорти дё скур] 
Из какого аэропорта отправляется мой,,
,De quel aéroport part mon avion? ,[Дё кель аэропор пар мон авьон?] 
самолёт? ,,
"Ваш билет и паспорт, пожалуйста. ","Votre billet et passeport, s’il vous plaît. ","[Вотр бийе э паспор, силь ву пле.] "
"Ваш посадочный талон, пожалуйста. ","Votre carte d’embarquement, s’il vous plaît. ","[Вотр карт дамбаркёман, силь ву пле.] "
Это ваш чемодан? ,Cette valise est votre? ,[Сэт вализ э вотр?] 
Где производится регистрация на рейс? ,Où se trouve le comptoir d’enregistrement? ,[У сё трув лё контуар данрёжистрёман?] 
Где зал отправления/прибытия? ,Où se trouvent les départs/les arrivées? ,[У сё трув ле дэпар/ле заривэ?] 
Где зона F? ,Où est la zone F? ,[У э ля зон эф?] 
Этот чемодан я сдаю в багаж. ,"Cette valise, je voudrais la placer en soute. ","[Сэт вализ, жё вудрэ ля плясэ ан сут. "
У меня одно место ручной клади. ,J’ai un bagage à main. ,[Жэ эн багяж а мэн.] 
Сколько я должен заплатить за перевес,Combien dois-je payer pour l’ excédent des,[Комбьен дуаж пэйе пур лексэдан дэ багяж?
багажа? ,bagages (pour le poid superflu)? ,(пур лё пуа сюпэрфлю?)] 
Я могу взять эту сумку с собой в салон? ,Est-ce que je peux prendre ce sac dans le salon? [Эскё жё пё прандр сё сак дан лё салён?],
,Je n’ai que mes bagages à main.(J’ai seulement,[Жё нэ кё мэ багяж а мэн. (Жэ сёльман ле
У меня только ручная кладь. ,,
,les bagages à main). ,багяж а мэн).] 
Где камера хранения? ,Où est la consigne? ,[У э ля консинь?] 
Всё в порядке? ,Ça va? ,[Са ва?] 
Рейс... отправится без опоздания? ,Le vol... n’est pas en retard? ,[Лё воль... нэ па ан рётар?] 
В каком терминале производится посадка на,,
,Quel est le terminal du vol... ? ,[Кель э лё тэрминаль дю воль...?] 
рейс...? ,,
Рейс на Ниццу отправляется вовремя? ,Le vol pour Nice est à l’heure? ,[Лё воль пур нис э я лёр?] 
Рейс на Лондон задерживается. ,Le vol pour Londres est retardé. ,[Лё воль пур лондр э рётардэ.] 
Где находится...? ,Où se trouve...? ,[У сё трув...?] 
- справочная служба аэропорта ,- le bureau d’information ,[- лё бюро дэнформасьон] 
- полицейская служба аэропорта ,- le poste de police de l’aéroport ,[- лё пост дё полис дё лэяропор] 
- табло вылета ,- le tableau des départs ,[- лё таблё дэ дэпар] 
- табло прибытия ,- le tableau des arrivées ,[- лё таблё дэ заривэ] 
Я хотел бы место... ,Je voudrais une place... ,[Жё вудрэ юн пляс...] 
- у иллюминатора/у прохода ,- près d’un hublot/côté couloir ,[- прэ дэн юблё/котэ кулюар] 
Где выдаётся багаж? ,Où est le retreit des bagages? ,[У э лё рётрэ дэ багаж?] 
Куда я могу обратиться по поводу пропажи,Où puis-je m’adresser à propos du bagage,
,,[У пюиж мадрэсэ а пропо дю багаж пэрдю?] 
багажа? ,perdu? ,
,,Французский разговорник 5 
Могу я арендовать машину прямо в,Est-ce que je peux louer une voiture à l’aéroport,
,,[Эскё жё пё луэ юн вуатюр а ляэропор мэм?] 
аэропорту? ,même? ,
"Где остановка автобуса, идущего в центр",,
,Où est l’arrêt de bus qui va au centre de la ville? [У э лярэ дё бюс ки ва о сантр дё ля виль?],
города? ,,
Какой автобус идет в центр? ,Quel bus va au centre? ,[Кель бюс ва о сантр?] 
Я доеду на этом автобусе до...? ,C’est bien le bus pour aller à... ? ,[Сэ бьен лё бюс пур але а...?] 
,В самолёте ,
Еда в самолете ,Le repas servi au bord ,[Лё рёпа сэрви о бор] 
Гигиенический пакет ,Le paquet hygiénique ,[Лё пакэ ижьеник] 
Бортпроводница (стюардесса) ,L’hôtesse de l'air ,[Лётэс дё лэр] 
Я чувствую себя хорошо. ,Je me sens bien. ,[Жё мё сан бьен.] 
Я себя не очень хорошо чувствую. ,Je ne me sens pas très bien. ,[Жё нё мё сан па трэ бьен.] 
Мне плохо. ,Je me sens mal. ,[Жё мё сан маль.] 
Мне нужен гигиенический пакет. ,J’ai besoin d’un paquet hygiénique. ,[Жэ бёзуэн дэн паке ижьеник.] 
"Дайте мне, пожалуйста... ","Donnez-moi, s’il vous plaît... ","[Донэ муа, силь ву пле...] "
- плед ,- le plaid ,[- лё плэд] 
- подушку ,- l’oreiller ,[- лёрэйе] 
- стакан воды ,- un verre d’eau ,[- эн вэр до] 
"Принесите мне, пожалуйста, воды. ","Apportez-moi, s’il vous plaît, de l’eau. ","[Апортэ муа, силь ву пле, дё лё.] "
Как включить...? ,Comment brancher...? ,[Коман бранше...?] 
- свет ,- la lumière ,[- ля люмьер] 
- вентилятор ,- le ventilateur ,[- лё вентилятёр] 
"Помогите мне, пожалуйста,... ","Aidez-moi, s’il vous plaît... ","[Эдэ муа, силь ву пле...] "
- откинуть кресло ,- à régler le siège ,[- а рэгле лё сьеж] 
- застегнуть ремни ,- à attacher ma ceinture ,[- а аташе ма сэнтюр] 
"Пристегните ремни, пожалуйста! ","Attachez vos ceintures, s’il vous plaît! ","[Аташэ во сэнтюр, силь ву пле!] "
Выключите электронные приборы. ,Débranchez les appareils électroniques. ,[Дэбраншэ ле запарэй электроник. ] 
Не пользуйтесь мобильными телефонами! ,Ne vous servez pas de téléphones portables! ,[Нё ву сэрвэ па дё тэлефон портабль!] 
,Городской транспорт. В автобусе ,
Автобус ,Le bus ,[Лё бюс] 
Трамвай ,Le tramway ,[Лё трамуэ] 
Билет ,Le ticket ,[Лё тикэ] 
Автобусная остановка ,L’arrêt de bus ,[Лярэ дё бюс] 
Где ближайшая остановка автобуса? ,Où est l‘arrêt le plus proche de l’autobus? ,[У э лярэ лё плю прош дё лётобюс? 
Каким автобусом можно доехать до центра,,
города? ,Par quel bus peut-on aller au centre de la ville? [Пар кель бюс пё тон але о сантр дё ля виль?],
Здесь останавливается автобус №...? ,Est-ce que le bus №... s’arrête ici? ,[Эскё лё бюс нюмэро... сарэт иси?] 
Здесь останавливается автобус №4? ,Le bus numéro 4 s’arrête ici? ,[Лё бюс нюмеро катр сарэт иси?] 
Где можно посмотреть расписание автобусов?, Où puis-je consulter les horaires de bus? ,[У пьюж консюльэ ле зорэр дё бюс?] 
Где мне найти расписание? ,Où puis-je trouver les horaires? ,[У пьюж трувэ ле зорэр?] 
"Извините, на какой автобус мне сесть, чтобы Excusez-moi, quel bus dois-je prendre pour aller",,"[Экскюзэ муа, кель бюс дуаж прандр пур але о"
доехать до музея? ,au musée? ,мюзэ?] 
В какую сторону ехать до галереи? ,Dans quelle direction est la galerie? ,[Дан кель дирэксьён э ля галери?] 
Когда приедет следующий автобус? ,Quand est le prochain autobus à venir? ,[Кан э лё прошэн отобюс а венир?] 
Сколько остановок нужно ехать до...? ,Combien d’arrêts pout aller...? ,[Комбьен дарэ пур але...?] 
- гостиницы ,- à l'hôtel ,[- а лётэль] 
- театра ,- au théâtre ,[- о тэатр] 
- музея ,- au musée ,[- о мюзэ] 
- собора ,- à la cathédrale ,[- а ля катэдраль] 
,,Французский разговорник 6 
Этот автобус идет до...? ,Est-ce que cet autobus va jusqu’à...? ,[Эскё сэт отобюс ва жюска...?] 
- вокзала ,- la gare ,[- ля гар] 
- площади ,- la place ,[- ля пляс] 
Этот автобус идет до аэропорта? ,Est-ce que ce bus va à l’aéroport? ,[Эскё сё бюс ва а ляэропор?] 
Какой автобус идет на вокзал Сен-Лазар? ,"Pour la gare Saint-Lazare, c'est quel bus? ",[Пур ля гар сэн-лязар сэ кель бюс?] 
Куда идет этот автобус? ,Où va ce bus? ,[У ва сё бюс?] 
Где я могу купить...? ,Où puis-je acheter...? ,[У пюиж аштэ...?] 
- билет на автобус ,- un ticket à l’autobus ,[- эн тикэ а лётобюс] 
- проездной ,- une carte d’abonnement ,[- юн карт дабонман] 
Сколько стоит проезд до...? ,Combien ça coûte d’aller à... ? ,[Комбьен са кут дале а...?] 
"Пожалуйста, один билет до... ","Un ticket pour..., s’il vous plaît. ",[Эн тикэ пур... силь ву пле.] 
"(Откройте) дверь, пожалуйста! ","La porte, s’il vous plaît! ","[Ля порт, силь ву пле!] "
,Vous allez près du musée? (Passez-vous près du,
Вы проезжаете мимо музея? ,musée?) ,[Ву зале прэ дю мюзэ?/Пасэ ву прэ дю мюзэ?] 
"Скажите мне, пожалуйста, когда мы приедем. Dites","-moi quand on arrive, s’il vous plaît. ","[Дит муа кан тон аррив, силь ву пле.] "
,"Dites, s’il vous plaît, quand nous devons",
"Скажите, пожалуйста, когда нам выходить. ",descendre (/quand il faut descendre). ,"[Дит, силь ву пле, кан ну дёвон десандр.] "
"Скажите, пожалуйста, где нужно выйти, чтобыDites, s’il vous plaît, où il faut descendre pour se",,"[Дит, силь ву пле, у иль фо дэсандр пур сё"
попасть в Эйфелевой башне? ,trouver près de la Tour Eiffel? ,трувэ прэ дё ля тур эфель?] 
Мне здесь выходить? ,Je dois descendre ici? ,[Жё дуа дэсандр иси?] 
Какая это остановка? ,C'est quel arrêt? ,[Сэ кель арэ?] 
Какая следующая остановка? ,Quel est l'arrêt suivant? ,[Кель э лярэ сюиван?] 
Вы выходите на следующей остановке? ,"Pardon, vous descendez à la prochaine? ","[Пардон, ву дэсандэ а ля прошэн?] "
Позвольте мне пройти! ,Laissez-moi passer! ,[Лэсэ муа пасэ!] 
,Городской транспорт. На метро ,
Метро ,Le métro ,[Лё мэтро] 
,Où se trouve la station de métro la plus,
,proche?/Où est la station de métro la plus,[У сё трув ля стасьён дё мэтро дя плю прош?/
Где (находится) ближайшая станция метро? ,proche? ,У э ля стасьон дё мэтро ла плю прош?] 
"Не подскажете, где ближайшая станция",Pourriez-vous m'indiquer la station de métro la,[Пурье ву мэндике ля стасьён дё мэтро дя плю
метро? ,plus proche? ,прош?] 
Где вход в метро? ,Où est l' entrée du métro? ,[У э лянтрэ дю мэтро?] 
Где я могу купить...? ,Où est-ce que je peux acheter... ? ,[У эскё жё пё аштэ...?] 
- билет ,- un ticket ,[- эн тикэ] 
- схему метро ,- le plan de métro ,[- лё плян дё мэтро]] 
Я хочу купить билет... ,Je voudrais acheter un ticket... ,[Жё вудрэ аштэ эн тикэ...] 
- на один день/три дня ,- pour un jour/trois jours ,[- пур эн жур/труа жур] 
- на неделю ,- pour une semaine ,[- пур юн смэн] 
Сколько стоит один билет? ,Combien coûte un ticket? ,[Комбьен кут эн тикэ?] 
