Здравствуйте! ,Bonjour! ,[Бонжур!] 
"Первое блюдо, суп ",L’entrée ,[Лянтрэ] 
"Второе блюдо, горячее ",Le plat principal ,[Лё пля прэнсипаль] 
Овощи ,Les légumes ,[Ле легюм] 
Салат ,La salade ,[Ля саляд] 
Десерт ,Le dessert ,[Лё дэсэр] 
Мясо ,La viande ,[Ля вьянд] 
Птица ,La volaille ,[Ля воляй] 
Рыба ,Le poisson ,[Лё пуасон] 
Морепродукты ,Les fruits de mer ,[Ле фрюи дё мэр] 
Суп ,La soupe ,[Ля суп] 
Гарнир ,La garniture ,[Ля гарнитюр] 
Жареный ,Frit ,[Фри] 
Запеченный ,Cuit ,[Кюи] 
Тушеный (на пару) ,à l'étouffée/ à l'étuvée ,[А лэтуфэ/А лэтювэ] 
На пару ,à la vapeur ,[А ля вапёр] 
Приготовленный на гриле ,grillé ,[Грийе] 
"Панированный, в сухарях ",pané ,[Панэ] 
Отварной ,bouilli ,[Буйи] 
Копченый ,fumé ,[Фюмэ] 
Фаршированный ,farci ,[Фарси] 
С кровью (о мясе) ,saignant ,[Сэньян] 
Средней прожарки (о мясе) ,rosé/à point ,[Розэ/А пуан] 
Хорошо прожаренный (о мясе) ,bien cuit ,[Бьен кюи] 
Я хочу стейк хорошей прожарки. ,Je voudrais mon steak bien cuit. ,[Жё вудрэ мон стэк бьен кюи.] 
Я хочу... ,Je voudrais... ,[Жё вудрэ...] 
- свиную отбивную ,- une côte de porc ,[- юн кот дё пор] 
- бифштекс ,- un beefsteak ,[- эн бифстэк] 
- цыпленка ,- du poulet ,[- дю пуле] 
- утку ,- du canard ,[- дю канар] 
- баранину ,- du mouton ,[- дю мутон] 
- рыбу ,- du poisson ,[- дю пуасон] 
- морепродукты ,- des fruit de mer ,[- дю фрюи дё мэр] 
Словарь меню. Названия распространенных продуктов и блюд ,,
,Супы ,
Консоме (Прозрачный мясной бульон) ,Le consommé ,[Лё консомэ] 
Рыбный суп буйабес (распространён на юге,,
,La bouillabaisse ,[Ля буйябэс] 
Франции) ,,
"Рагу, густой суп ",Le ragoût ,[Лё рагу] 
Луковый суп ,La soupe à l’oignon ,[Ля суп а лоньён] 
Суп с зеленым горошком ,Le potage St Germain ,[Лё потаж сен жэрмэн] 
Суп с базиликом ,La soupe au pistou ,[Ля суп о писту] 
Крем-суп из спаржи ,La crème d’asperges ,[Ля крэм даспэрж] 
Овощной суп ,La soupe aux légumes ,[Ля суп о легюм] 
Куриный крем-суп ,La crème de volaille ,[Ля крэм дё воляй] 
,,Французский разговорник 20 
Суп-лапша ,Le potage au vermicelle ,[Лё потаж о вэрмисэль] 
Томатный/луковый/овощной суп ,La soupe aux tomates/à l’oignon/aux légumes [Ля суп о томат/а лоньён/а легюм],
,Мясо. Мясные блюда ,
Баранина ,Le mouton ,[Лё мутон] 
Говядина ,Le bœuf ,[Лё бёф] 
Индейка ,La dinde ,[Ля дэнд] 
Отбивная ,La côtelette ,[Ля котлэт] 
Окорок ,Le jambon ,[Лё жамбон] 
Свинина ,Le porc ,[Лё пор] 
Сосиски ,Les saucisses ,[Ле сосис] 
Фарш ,La viande hachée ,[Ля вьянд аше] 
Цыпленок/курица ,Le poulet ,[Лё пуле] 
Ножка ,Le pilon ,[Лё пилён] 
Грудка ,Le blanc ,[Лё блян] 
Бедро ,La cuisse ,[Ля кюис] 
Крылышко ,L’aile ,[Лэль] 
Жареная индейка ,La dinde rôtie ,[Ля дэнд роти] 
Свиные ребрышки ,Le travers de porc ,[Лё травэр дё пор] 
Жареный цыпленок ,Le poulet frit ,[Лё пуле фри] 
Жареная говядина ,Le rôti de bœuf ,[Лё роти дё бёф] 
Почки в соусе из жгучего перца ,Les rognons à la diable ,[Ле роньон а ля дьябль] 
Лягушачьи лапки ,Les cuisses de grenouille ,[Ле кюис дё грёнуй] 
Петух в вине ,Coq au vin ,[Кок о вэн] 
"Горшок (с мясом), тушёная говядина с",,
,Pot-au-feu ,[Пот о фё] 
овощами ,,
Паштет ,Les rillettes ,[Ле риёет] 
Утиные ножки (утиное конфи) ,Le confit de canard ,[Лё конфи дё канар] 
Рубец ,Les tripes ,[Ле трип] 
,Рыба. Рыбные блюда. Моллюски и морепродукты ,
Кальмар ,Le calamar ,[Лё калямар] 
Камбала ,La sole ,[Ля соль] 
Карп ,La carpe ,[Ля карп] 
Краб ,Le crabe ,[Лё краб] 
Креветки ,Les crevettes , [Ле крёвэт] 
Лосось ,Le saumon ,[Лё сомон] 
Мидии ,Les moules ,[Ле муль] 
Омар ,Le homard ,[Лё омар] 
Улитки ,Les escargots ,[Ле зэскарго] 
Петушки (моллюск) ,Les palourdes ,[Ле палурд] 
Устрицы ,Les huîtres ,[Ле зюитр] 
Букцинум (волнистый рожок) (моллюск) ,Les bulots ,[Лё бюло] 
Морские гребешки (моллюск) ,Les coquilles Saint-Jacques ,[Ле кокий сэн-жак] 
Раки ,Les écreisses ,[Ле зэкрёвис] 
Ракообразные ,Les crustacés ,[Ле крюстасэ] 
Сардина ,La sardine ,[Ля сардин] 
Сельдь ,Le hareng ,[Лё аран] 
"Скумбрия, макрель ",Le maquereau (lisette) ,[Лё макро (лизет)] 
,,Французский разговорник 21 
Треска ,La morue ,[Ля морю] 
Тунец ,Le thon ,[Лё тон] 
Форель ,La truite ,[Ля трюит] 
Меч-рыба ,L'espadon ,[Лэспадон] 
Рыба-сабля ,Le sabre ,[Лё сабр] 
"Тригла, морской петух ",Le grondin ,[Лё грондэн] 
"Тюрбо, или большой ромб (из",,
,Le turbot ,[Лё тюрбо] 
камбалообразных) ,,
Налим ,La lotte ,[Ля лот] 
Морской чёрт ,La lotte de mer (baudroie) ,[Ля лот дё мэр/бодруа] 
Барабулька ,Le rouget ,[Лё ружэ] 
Угорь ,L’anguille ,[Лянгий] 
,Овощи и зелень. Гарниры ,
Картофель ,Les pommes de terre ,[Ле пом дё тэр] 
Картофель-фри/печеный картофель ,Les frites/les pommes de terre cuites ,[Ле фрит/пом дё тэр кюит] 
Картофельное пюре ,La purée de pommes de terre ,[Ля пюрэ дё пом дё тэр] 
Баклажан ,L’aubergine ,[Лёбэржин] 
Капуста ,Le chou ,[Лё шу] 
Краснокочанная капуста ,Le chou rouge ,[Лё шу руж] 
Брокколи ,Le chou brocoli ,[Лё шу броколи] 
Цветная капуста ,Le chou-fleur ,[Лё шуфлёр] 
Брюссельская капуста ,Les choux de Bruxelles ,[Ле шу дё брюсэль] 
Квашеная капуста ,La choucroute ,[Ля шукрут] 
Болгарский перец ,Le poivron [ ,Лё пуаврон] 
Кабачок ,La courge ,[Ля курж] 
Кольраби ,Le chou-rave ,[Лё шурав] 
Лук ,L’oignon ,[Лёньон] 
Морковь ,La carotte ,[Ля кярот] 
Огурец ,Le concombre ,[Лё конкомбр] 
Перец чили ,Le piment ,[Лё пиман] 
Петрушка ,Le persil ,[Лё перси] 
Помидор ,La tomate ,[Ля томат] 
Сельдерей ,Le céleri ,[Лё сэлери] 
Чеснок ,L’ail ,[Ляй] 
Шпинат ,Les épinards (L’épinard) ,[Ле зэпинар (Лепинар)] 
Артишок ,L’artichaut ,[Ляртишо] 
Горох ,Les petits pois ,[Ле пти пуа] 
Зелёный лук ,La ciboule ,[Ля сибуль] 
Имбирь ,Le gingembre ,[Лё жэнжамбр] 
Кукуруза ,Le maïs ,[Лё маис] 
Лук-порей ,Le poireau ,[Лё пуаро] 
Редис ,Le radis ,[Лё ради] 
Репа ,Le navet ,[Лё навэ] 
Салат (листовой) ,La salade verte ,[Ля саляд вэрт] 
Свекла ,La betterave ,[Ля бетрав] 
Сельдерей ,La céleri ,[Лё сэльри] 
Тыква ,La citrouille ,[Ля ситруй] 
,,Французский разговорник 22 
Фасоль ,Les haricots (haricots verts —стручковая) ,[Ле арико (арико вэр)] 
Грибы ,Les champignons ,[Ле шампиньон] 
Паста (макароны) ,Les pâtes ,[Ле пат] 
Рис ,Le riz ,[Лё ри] 
Лапша ,Les nouilles ,[Ле нуй] 
Макароны ,Les macaronis ,[Ле макарони] 
,Десерты. Выпечка и сладости ,
Сырная тарелка ,Le plateau de fromage ,[Лё плято дё фромаж] 
Блины ,Les crêpes ,[Ле крэп] 
Круассан ,Le croissant ,[Лё круасан] 
Гренки (десерт) ,Le pain perdu ,[Лё пэн пердю] 
Мёд ,Le miel ,[Лё мьель] 
Джем ,La confiture ,[Ля конфитюр] 
Мороженое ,La glace ,[Ля гляс] 
Мороженое с фруктами ,La glace aux fruits ,[Ля гляс о фрюи] 
"Пирожное, сладкий пирог ",Le gâteau ,[Лё гато] 
Кусок пирога ,Un morceau de gâteau ,[Эн морсо дё гато] 
Взбитые сливки ,La crème chantilly ,[Ля крэм шантийи] 
Пудинг ,Le pouding ,[Лё пудин] 
Торт ,La tarte ,[Ля тарт] 
Шоколадный торт ,Le gâteau au chocolat ,[Лё гато о шоколя] 
Фруктовый салат ,La salade de fruit ,[Ля салад дё фрюи] 
Шоколадный мусс ,La mousse au chocolat ,[Ля мус о шоколя] 
Булочка ,Le petit-pain ,[Лё пти пэн] 
Орехи ,Les noix ,[Ле нуа] 
Французский яблочный пирог ,La Tarte Tatin ,[Ля тарт татан] 
Франжипан (миндальное пирожное или крем) La frangipane,,[Ля франжипан] 
Ржаной хлеб ,Le pain de seigle ,[Лё пэн дё сэгль] 
Пшеничный (белый) хлеб ,Le pain blanc ,[Лё пэн блян] 
Багет ,La baguette ,[Ля багет] 
Зерновой хлеб ,Le pain complet ,[Лё пэн компле] 
Лепешка ,Le pain plat ,[Лё пэн пля] 
Конфеты ,Les bonbons ,[Ле бонбон] 
Булочка ,Le petit pain rond / brioche ,[Лё пти пэн рон/Брийош] 
Эклер ,L’éclair ,[Леклэр] 
Слоеное тесто ,La pâte phyllo/filo (La pâte feuilletée) ,[Ля пат дё фило (Ля пат фёйтэ)] 
Песочное печенье ,Le sablé ,[Лё сабле] 
Безе ,La meringue ,[Ля мэранг] 
Маффин ,Le muffin ,[Лё мафэн] 
Сахар ,le sucre ,[Лё сюкр] 
,Напитки ,
Чай ,le thé ,[Лё тэ] 
Кофе ,le café ,[Лё кафэ] 
Кофе без кофеина ,le déca ,[Лё дека] 
Кофе со сливками ,le café crème ,[Лё кафэ крэм] 
Кофе лунго (экспрессо с большим,,
,Le café allongé ,[Лё кафэ алонжэ] 
количеством воды) ,,
,,Французский разговорник 23 
Большой черный кофе ,le grand café ,[Лё гран кафэ] 
Молоко ,le lait ,[Лё лэ] 
Сок ,le jus ,[Лё жю] 
Фруктовый сок ,le jus de fruit ,[Лё жю дё фрюи] 
Минеральная вода ,l’eau minérale ,[Лё минэраль] 
Газированная вода ,l’eau gazeuse ,[Лё газёз] 
Негазированная вода ,l’eau plate ,[Лё плят] 
Графин воды ,une carafe d'eau ,[Юн караф до] 
Красное вино ,le vin rouge ,[Лё вэн руж] 
Белое вино ,le vin blanc ,[Лё вэн блян] 
Пиво ,la bière ,[Ля бьер] 
Разливное пиво (бочковое) ,la bière à la pression ,[Ля бьер а ля прэсьён] 
Ликер ,le liqueur ,[Лё ликёр] 
Шампанское ,le champagne ,[Лё шампань] 
Коньяк ,le cognac ,[Лё коньяк] 
Аперитив ,l’apéritif ,[Ляперитиф] 
Йогурт ,le yaourt ,[Лё яур] 
Молоко ,le lait ,[Лё ле] 
,В супермаркете ,
Где мне взять...? ,Où se trouvent...? ,[У сё трув...?] 
- тележку для покупок ,- les chariots ,[- ле шарьо] 
- корзину для покупок ,- les paniers ,[- ле панье] 
Я ищу... ,Je cherche... ,[Жё шэрш...] 
Где прилавок с...? ,Où sont...? ,[У сон...?] 
- замороженными продуктами ,- les surgelés ,[- ле сюржёле] 
- фруктами ,- les fruits ,[- де фрюи] 
- напитками ,- les boissons ,[- ле буасон] 
Где отдел с напитками? ,Où est le rayon des boissons? ,[У э лё район де буасон?] 
Где я могу взвесить овощи? ,Où peut-on peser des légumes? ,[У пё тон пёзэ дэ легюм?] 
Где касса? ,Où se trouvent les caisses? ,[У сё трув ле кэс?] 
"Дайте мне, пожалуйста, пакет. ","Donnez-moi un paquet, s’il vous plaît. ","[Донэ муа эн паке, силь ву пле.] "
Можно мне пакет? ,"Je peux avoir un sac, s’il vous plaît? ","[Жё пё авуар эн сак, силь ву пле?] "
Вы принимаете кредитные карты? ,Vous acceptez les cartes de crédit? ,[Ву заксэптэ ле карт дё креди?] 
,"Tapez votre code, s’il vous plaît. (Composez votre",
"Наберите свой код, пожалуйста. ",,"[Тапэ вотр код, силь ву пле.] "
,code s’il vous plaît.) ,
Я должен расписаться? ,J’ai besoin de signer aussi? ,[Жэ бёзуэн дё синье оси?] 
"Нет, не обязательно. ","Non, ce n’est pas nécessaire. ","[Нон, сэ нэ па нэсэсэр.] "
,На рынке ,
Мне нужны помидоры. ,Je voudrais des tomates. ,[Жё вудрэ де томат.] 
Большие или маленькие? ,Des grosses ou des petites? ,[Де грос у де птит?] 
Сколько вы хотите? ,Vous en voulez combien? ,[Ву зан вуле комбьен?] 
"2 кг больших, пожалуйста. ","Deux kilos de grosse, s’il vous plaît. ","[Дё килё де грос, силь ву пле.] "
Я хотел бы... ,Je voudrais... ,[Жё вудрэ...] 
- 300 г сыра ,- 300 grammes de fromage ,[- труа сан грам дё фромаж] 
- 1 кг колбасы ,- un kilo de saucisson ,[- эн килё дё сосисон] 
- 2 кг яблок ,- deux kilos de pommes ,[- дё килё дё пом] 
,,Французский разговорник 24 
"Можно, если будет немного больше? ",Si c’est un peu plus? ,[Си сэ эн пё плю?] 
Сколько это стоит? ,Combien ça coûte? ,[Комбьен са кут?] 
Сколько стоит килограмм? ,C’est cpmbien au kilo? ,[Сэ комбьен о килё?] 
Почем этот сыр? ,C’est combien ce fromage? ,[Сэ комбьен сё фромаж?] 
Это слишком дорого. ,C’est trop cher. ,[Сэ тро шэр.] 
У вас есть что-нибудь дешевле? ,Vous avez quelque chose de moins cher? ,[Ву завэ кельке щоз дё муэн шэр?] 
Вы не уступите мне немного в цене? ,Ne me feriez-vous une remise? ,[Нё мё фёрье ву юн рёмиз?] 
Можно попробовать? ,Je peux goûter? ,[Жё пё гутэ?] 
"Взвесьте мне, пожалуйста,... ","Pesez-moi, s’il vous plaît... ","[Пёзэ муа, силь ву пле...] "
- 200 граммов ,- 200 grammes ,[- дё сан грам] 
- 3 штуки ,- trois pièces ,[- труа пьес] 
- 2 ломтика ,- deux tranches ,[- дё транш] 
- 1 кг ,- un kilo ,[- эн килё] 
- 1 кусок ,- un morceau ,[- эн морсо] 
Поштучно ,À la pièce ,[А ля пьес] 
Так достаточно? ,Y en a-t-il assez? ,[Ян а тиль асэ?] 
Положите мне в этот пакет. ,Mettez dans ce paquet. ,[Мэтэ дан сё пакэ.] 
"Что-то еще, мадам? ","Et avec ceci, madame? ","[Э авэк сёси, мадам?] "
"Это всё, спасибо. Сколько с меня? ","Ce sera tout, merci. C’est combien? ","[Сё сёра ту, мэрcи. Сэ комбьен?] "
Сыр ,Le fromage ,[Лё фромаж] 
Яйцо ,L’œuf ,[Лёф] 
Яйца ,Les œufs ,[Ле зё] 
Сливки ,La crème ,[Ля крэм] 
Сливочное масло ,Le beurre ,[Лё бёр] 
Сметана ,Crème fraîche ,[Крэм фрэш] 
Детское питание ,L’alimentation pour enfants ,[Лялимантасьон пур анфан] 
Алкоголь ,L’alcool ,[Ляльколь] 
Консервы ,Les conserves ,[Ле консэрв] 
Рыбные консервы ,Poisson en conserve ,[Пуасон ан консэрв] 
Банка консервов ,Une boîte de conserve ,[Юн буат дё консэрв] 
,Фрукты ,
Абрикос ,L’abricot ,[Лябрико] 
Ананас ,L’ananas ,[Лянана] 
Апельсин ,L’orange ,[Лоранж] 
Арбуз ,La pastèque ,[Ля пастэк] 
Банан ,La banane ,[Ля банан] 
Виноград ,Le raisin ,[Лё рэзэн] 
Гранат ,La grenade ,[Ля грёнад] 
Грейпфрут ,La pamplemousse ,[Ля памплёмус] 
Груша ,La poire ,[Ля пуар] 
Дыня ,Le melon ,[Ля грозэй] 
Красная смородина ,La groseille ,[Ля фрамбуаз] 
Лимон ,La framboise ,[Лё мелён] 
Малина ,Le citron ,[Лё ситрон] 
Нектарин ,La nectarine ,[Ля нектарин] 
Персик ,La pêche ,[Ля пеш] 
,,Французский разговорник 25 
Слива ,La prune ,[Ля прюн] 
Черная смородина ,Le cassis ,[Лё кясис] 
Яблоко ,La pomme ,[Ля пом] 
,"Шопинг. Подарки, сувениры ",
Кольцо ,La bague ,[Ля баг] 
Цепочка ,La chaînette ,[Ля шэнэт] 
Бумажник ,Le portefeuille ,[Лё портфёй] 
Шкатулка ,Le coffret/le baguier ,[Лё кофрэ/лё багье] 
Серьги ,Les boucles d’oreille ,[Ле букль дорэй] 
Браслет ,Le bracelet ,[Лё брасле] 
Ожерелье ,Le collier ,[Лё колье] 
Часы ,La montre ,[Ля монтр] 
Магнитик ,Le magnet ,[Лё маньет] 
Мягкая игрушка ,La peluche ,[Ля пёлюш] 
Кружка ,La chope ,[Ля шоп] 
Тарелка ,L’assiette ,[Лясьет] 
Подушка (диванная) ,Le coussin ,[Лё кусэн] 
Мне нужен не очень дорогой подарок. ,J’ai besoin d’un cadeau pas cher. ,[Жё бёзуэн дэн кадо па шэр] 
Я хотел бы купить... ,Je voudrais acheter... ,[Жё вудрэ аштэ...] 
Мне нужен красивый сувенир. ,Il me faut un beau souvenir. ,[Иль мё фо эн бо сувёнир] 
Мне хотелось бы что-нибудь типичное для,,
данной местности (страны). ,Je voudrais quelque chose typique pour ce pays. [Жё вудрэ келькё шоз типик пур сё пэи.],
"Покажите мне, пожалуйста... ","Montrez-moi, s’il vous plaît... ","[Монтрэ муа, силь ву пле...] "
- это кольцо ,- cette bague ,[- сэт баг] 
- эту цепочку ,- cette chaînette ,[- сэт шэнэт] 
- этот браслет ,- ce bracelet ,[- сё брасле] 
Это золото или позолота? ,Est-ce en or ou en plaqué or? ,[Эс ан ор у ан пляке ор?] 
Это ручная работа? ,C’est du travail à la main? ,[Сэ дю травай а ля мэн?] 
У вас есть подходящая коробочка? ,Avez-vous une boîte? ,[Авэ ву юн буат?] 
Сколько стоит всё вместе? ,Combien vous dois-je en tout? ,[Комбьен ву дуаж ан ту?] 
"Сделайте, пожалуйста, подарочную упаковку. Faites","-moi un paquet-cadeau, s’il vous plaît. ","[Фэт муа эн паке кадо, силь ву пле] "
,За покупками. По магазинам (одежда и обувь) ,
Размер одежды ,la taille ,[ля тай] 
Размер обуви ,la pointure ,[ля пуэнтэр] 
Распродажа ,les soldes ,[ле сольд] 
У вас есть что-нибудь подешевле? ,Avez-vous quelque chose de moins cher? ,[Авэ ву келькё шоз дё муэн шэр?] 
У вас есть что-нибудь со скидкой? ,Il y a quelque chose au rabais? ,[Илья келькё шоз о рабэ?] 
У вас есть более крупный размер? ,Vous avez une taille plus grande? ,[Ву завэ юн тай плю гранд?] 
Эти туфли слишком дорогие. ,Ces chaussures sont trop chères. ,[Се шосюр сон тро шэр.] 
Где находится...? ,Où se trouve... ? ,[У сё трув...?] 
- лифт ,- l’ascenseur ,[- лясансёр] 
- эскалатор ,- l’escalier roulant ,[- лескалье рулян] 
- кафе ,- le café ,[- лё кафэ] 
- касса ,- la caisse ,[- ля кэс] 
Сколько с меня? ,C’est combien? ,[Сэ комбьен?] 
Я плачу наличными. ,Je paie comptant/en espèces. ,[Жё пэ контан/ан эспэс.] 
,,Французский разговорник 26 
Я могу оплатить кредитной картой? ,Je paie par la carte de crédit? ,[Жё пё пэйе пар карт дё крэди?] 
Вы принимаете кредитные карты? ,Vous acceptez les cartes de crédit? ,[Ву заксэптэ ле карт дё креди?] 
У меня мало денег. ,J’ai peu d’argent. ,[Жэ пё даржан.] 
Дайте мне чек. ,Donnez-moi un reçu. ,[Донэ муа эн рёсю.] 
Дайте мне сдачу мелочью. ,Je voudrais la monnaie en petites pièces. ,[Жё вудрэ ля монэ ан птит пьес.] 
Я хотел бы оформить такс-фри для туристов.,Je voudrais avoir une détaxe pour touristes. Où,[Жё вудрэ авуар юн дэтакс пур турист. У пё тон
Где я могу это сделать? ,peut-on le faire? ,лё фэр?] 
"Вот мой паспорт, чеки и покупки. Оформите","Voici mon passeport, mes tickets et mes achats.","[Вуаси мон паспор, мэ тикэ э мэ заша. Фэт муа"
"мне, пожалуйста, такс-фри. ","Faites-moi une détaxe, s’il vous plaît. ","юн дэтакс, силь ву пле.] "
Я ищу... ,Je cherche... ,[Жё шэрш...] 
Мне хотелось бы... ,Je voudrais... ,[Жё вудрэ...] 
У меня... размер. ,Je fais... ,[Жё фэ...] 
У меня рост... (размер одежды). ,Ma taille est de... ,[Ма тай э дё...] 
Могу я вам чем-то помочь? ,Puis-je vous être utile? ,[Пюиж ву зэтр ютиль?] 
Вам помочь? ,Puis-je vous aider? ,[Пюиж ву зэдэ?] 
Что вас интересует? ,Qu’est-ce qui vous intéresse? ,[Кес ки ву зантэрэсс?] 
"Спасибо, я хочу сначала осмотреться. ","Merci, je voudrais d’abord regarder. ","[Мэрси, жё вудрэ дабор рёгардэ. "
"Я просто смотрю, спасибо. ","Je regarde, merci. (J'aimerais juste regarder.) ","[Жё рёгард, мэрси. "
"Нет, спасибо, я просто смотрю. ","Non, merci, je regarde tout simplement. ","[Нон, мэрси, жё рёгард ту сэмплёман.] "
"Спасибо, я хотел бы купить... ","Merci, je voudrais acheter... ","[Мэрси, жё вудрэ аштэ...] "
"Спасибо, меня уже обслуживают. ","Merci, on s’occupe de moi. ","[Мэрси, он сокюп дё муа.] "
У вас есть...? ,Avez-vous...? ,[Авэ ву...?] 
"Дайте мне, пожалуйста... ","Donnez-moi..., s’il vous plaît. ","[Донэ муа..., силь ву пле.] "
"Покажите мне, пожалуйста... ","Montrez-moi.., s’il vous plaît. ","[Монтрэ муа..., силь ву пле.] "
Сколько это стоит? ,Combien ça coûte? ,[Комбьен са кут?] 
Это слишком дорого. ,C’est trop cher. ,[Сэ тро шер.] 
Это недорого/дешево. ,Ce n’est pas cher/ bon marché. ,[Сё нэ па шер/бон маршэ.] 
"Заверните, пожалуйста. ","Emballez, s’il vous plaît. ","[Амбале, силь ву пле.] "
Можно мне пакетик? ,Puis-je avoir une poche? ,[Пюиж авуар юн пош?] 
У вас есть мелочь? ,Avez-vous de la monnaie? ,[Авэ ву дё ля монэ?] 
Меня это не интересует. ,Je ne suis pas intéressé. ,[Жё нё сюи па зантэрэссэ.] 
"ОК, беру. ","D'accord, je le/la prends. ","[Дакор, жё лё/ля пран.] "
Можно это примерить? ,Puis-je l’essayer? ,[Пюиж лесэйе?] 
Где примерочная? ,Où sont les cabines d’essayage? ,[У сон ле кабин дэсэйяж?] 
Мне это... ,C’est... ,[Сэ...] 
- велико ,- trop grand ,[- тро гран] 
- мало ,- trop petit ,[- тро пти] 
"Мне нужен другой размер. Принесите,","Il me faut une autre taille. Apportez, s’il vous","[Иль мё фо юн отр тай. Апортэ, силь ву пле, ля"
"пожалуйста, на размер больше/меньше. ","plaît, la taille au-dessus/en dessous. ",тай одсю/ан дсу.] 
,"Je voudrais la même chose, mais d’une autre",
"Мне хотелось бы то же, но другого цвета. ",couleur. ,"[Жё вудрэ ля мэм шоз, мэ дюн отр кулёр.] "
Красный ,Rouge ,[Руж] 
Оранжевый ,Orange ,[Оранж] 
Желтый ,Jaune ,[Жон] 
Зеленый ,Vert ,[Вэр] 
Голубой ,Bleu clair ,[Блё клэр] 
Синий ,Bleu ,[Блё] 
Фиолетовый ,Violet ,[Вьоле] 
,,Французский разговорник 27 
Белый ,Blanc ,[Блян] 
Коричневый ,Brun ,[Брэн] 
Черный ,Noir ,[Нуар] 
Розовый ,Rose ,[Роз] 
Серый ,Gris ,[Гри] 
Бежевый ,Beige ,[Бэж] 
Мне не нравится этот цвет. ,Je n'aime pas cette couleur. ,[Жё нэм па сэт кулёр.] 
Этот размер подходит. ,Cette taille me convient. ,[Сэт тай мё конвьен.] 
Мне нужны... ,J’ai besoin... ,[Жэ бёзуэн...] 
- пальто ,- d'un manteau ,[- дэн манто] 
- пиджак ,- d'un veston ,[-дэн вэстон] 
- плащ ,- d'un imperméable ,[- дэн эмпэрмеабль] 
- юбка ,- d'une jupe ,[- дюн жюп] 
- футболка ,- d'un tee-shirt ,[- дэн ти шёрт] 
- джинсы ,- d'un jeans ,[- дэн джин] 
- брюки ,- d'un pantalon ,[- дэн панталён] 
- мужской костюм ,- d'un costume ,[- дэн костюм] 
,,[- дэн ансамбль/дэн тайёр (с брюками/с
- женский костюм ,- d'un ensemble/ d'un tailleur ,юбкой)] 
- вечернее платье ,- d'une robe de soirée ,[- дюн роб дё суарэ] 
- колготки ,- des collants ,[- дэ колян] 
- носки ,- des chaussettes ,[- дэ шосэт] 
- рубашка ,- d’une chemise ,[- дюн шёмиз] 
- туфли ,- des chaussures ,[- дэ шосюр] 
- сапоги ,- des bottes ,[- дэ бот] 
- полуботинки ,- des souliers ,[- дэ сулье] 
- босоножки ,- des nue-pieds ,[- дэ ню пье] 
- кроссовки ,- des baskets/tennis ,[- дэ баскэт/тэнис] 
- домашние тапки ,- des pantoufles ,[- дэ пантуфль] 
Я ношу... размер (обуви). ,Je chausse du... ,[Жё шос дю...] 
Они мне... ,Elles... ,[Эль...] 
- малы ,- me sont petites ,[- мё сон птит] 
- велики ,- me sont grandes ,[- мё сон гранд] 
- немного жмут ,- me serrent un peu ,[- мё сэр эн пё] 
- неудобны ,- me sont inconfortables ,[- мё сон энконфортабль] 
У вас есть такие же на размер,,
больше/меньше? ,Vous avez la pointure au-dessus/en dessous? ,[Ву завэ ля пуэнтэр одсю/ан дсу?] 
Этот размер (обуви) мне подходит. ,Cette pointure me va. ,[Сэт пуэнтюр мё ва.] 
,"Vous avez le même modèle, mais d’une autre",
А какого еще цвета есть эта же модель? ,couleur? ,"[Ву завэ лё мэм модэль, мэ дюн отр кулёр?] "
Где я должен платить? ,Je dois payer où? ,[Жё дуа пэйе у?] 
Щетка для обуви ,La brosse à souliers ,[Ля брос а сулье] 
Крем для обуви ,Le cirage ,[Лё сираж] 
Стельки ,Les semelles ,[Ле сёмэль] 
,,Французский разговорник 28 
,Приложение. Числительные ,
0,zéro ,зэро 
1,un ,эн 
2,deux ,дё 
3,trois ,труа 
4,quatre ,кятр 
5,cinq ,сэнк 
6,six ,сис 
7,sept ,сэт 
8,huit ,юит 
9,neuf ,нёф 
10,dix ,дис 
11,onze ,онз 
12,douze ,дуз 
13,treize ,трэз 
14,quatorze ,кяторз 
15,quinze ,кэнз 
16,seize ,сэз 
17,dix-sept ,дис сэт 
18,dix-huit ,диз юит 
19,dix-neuf ,диз нёф 
20,vingt ,вэн 
21,vingt et un ,вэнтэён 
22,vingt-deux ,вэн дё 
23,vingt-trois ,вэн труа 
30,trente ,трант 
40,quarante ,кярант 
50,cinquante ,cэнкант 
60,soixante ,cуасант 
70,soixante-dix ,cуасант дис 
80,quatre-vingt ,кятр вэн 
90,quatre-vingt-dix ,кяэтр вэн дис 
100,cent ,сан 
200,deux cents ,дё сан 
500,cinq cents ,сэнк сан 
1000,mille ,миль 
,,Французский разговорник 29 
